Timestamp,Camera_Source,QR_Text
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/yS6ikf
2025-12-12 01:43:23,Webcam_Primary,https://scan.page/1nXOfn
2025-12-12 01:43:23,Webcam_Secondary,https://scan.page/yS6ikf
